Hashsize	Subject	Cross Validation Fold	Model	Training Accuracy	Training F-Score	Test Accuracy	Test F-Score	Time to Evaluate Model
1000	9	7	1	98.8461538462	0.8	98.8461538462	0.8	17.8639512062
1000	9	7	2	97.5	-1	97.5	-1	39.6732668877
1000	9	7	3	97.5	-1	97.5	-1	23.7105588913
1000	9	8	1	99.4230769231	0.8695652174	99.4230769231	0.8695652174	16.6851580143
1000	9	8	2	97.8846153846	-1	97.8846153846	-1	38.7045710087
1000	9	8	3	97.8846153846	-1	97.8846153846	-1	22.1804869175
1000	9	9	1	99.4230769231	0.88	99.4230769231	0.88	17.7761449814
1000	9	9	2	97.6923076923	-1	97.6923076923	-1	39.7065730095
1000	9	9	3	97.6923076923	-1	97.6923076923	-1	22.3552260399
1000	9	10	1	99.2307692308	0.8	99.2307692308	0.8	17.7340250015
1000	9	10	2	98.2692307692	-1	98.2692307692	-1	38.3491811752
1000	9	10	3	98.2692307692	-1	98.2692307692	-1	22.8173539639
1000	10	1	1	99.0384615385	0.7368421053	99.0384615385	0.7368421053	17.478771925
1000	10	1	2	99.0384615385	0.7058823529	99.0384615385	0.7058823529	40.0433239937
1000	10	1	3	98.4615384615	-1	98.4615384615	-1	21.9985880852
1000	10	2	1	99.6153846154	0.9090909091	99.6153846154	0.9090909091	17.2346529961
1000	10	2	2	99.4230769231	0.8571428571	99.4230769231	0.8571428571	38.2232270241
1000	10	2	3	97.8846153846	-1	97.8846153846	-1	22.6733911037
1000	10	3	1	99.4230769231	0.8571428571	99.4230769231	0.8571428571	18.4012639523
1000	10	3	2	99.2307692308	-1	99.2307692308	-1	38.522539854
1000	10	3	3	98.0769230769	-1	98.0769230769	-1	22.1231710911
1000	10	4	1	99.2307692308	0.8666666667	99.2307692308	0.8666666667	18.0564370155
1000	10	4	2	98.6538461538	-1	98.6538461538	-1	39.030684948
1000	10	4	3	97.3076923077	-1	97.3076923077	-1	22.5561499596
1000	10	5	1	99.0384615385	0.8148148148	99.0384615385	0.8148148148	18.2093880177
1000	10	5	2	99.4230769231	0.88	99.4230769231	0.88	39.244852066
1000	10	5	3	97.6923076923	-1	97.6923076923	-1	22.4181940556
1000	10	6	1	99.4230769231	0.8235294118	99.4230769231	0.8235294118	17.5287759304
1000	10	6	2	98.6538461538	-1	98.6538461538	-1	38.6955039501
1000	10	6	3	98.4615384615	-1	98.4615384615	-1	21.885504961
1000	10	7	1	99.4230769231	0.8571428571	99.4230769231	0.8571428571	17.1981358528
1000	10	7	2	99.4230769231	-1	99.4230769231	-1	37.8910291195
1000	10	7	3	98.0769230769	-1	98.0769230769	-1	21.4988980293
1000	10	8	1	99.4230769231	0.8235294118	99.4230769231	0.8235294118	16.8954660892
1000	10	8	2	99.6153846154	0.875	99.6153846154	0.875	40.1690471172
1000	10	8	3	98.4615384615	-1	98.4615384615	-1	22.6050140858
1000	10	9	1	99.4230769231	-1	99.4230769231	-1	17.1039278507
1000	10	9	2	99.6153846154	0.9090909091	99.6153846154	0.9090909091	39.0399680138
1000	10	9	3	97.8846153846	-1	97.8846153846	-1	21.7725331783
1000	10	10	1	99.6153846154	0.8888888889	99.6153846154	0.8888888889	17.3144469261
1000	10	10	2	98.8461538462	-1	98.8461538462	-1	37.7728681564
1000	10	10	3	98.2692307692	-1	98.2692307692	-1	22.1194360256
